key,name,country,industry_section,headcount,headcount_year,report_url,note_de,note_en
geberit,Geberit AG,CH,C,11110,2024,https://reports.geberit.com/annual-report/2024/sustainability/performance-2024/people/occupational-health-and-safety.html,"Unfallkennzahlen ohne Auftragnehmer; 11 110 ist der Personalbestand in Vollzeitstellen des Konzerns.","Accident figures exclude contractors; 11 110 is the Group headcount in full time equivalents."
rieter,Rieter Holding AG,CH,C,4859,2024,https://reports.rieter.com/2024/ar/en/people-related,"Personalbestand per Ende 2024 (4 785 Vollzeitstellen separat ausgewiesen); die Unfallrate zählt nur Mitarbeitende, ohne Temporär- und Auftragnehmerpersonal.","Headcount at the end of 2024 (4 785 full time equivalents reported separately); the accident rate counts employees only, no agency or contractor staff."
sandvik,Sandvik AB,SE,C,41447,2024,https://www.annualreport.sandvik/en/2024/sustainable-business/non-financial-notes/health-and-safety.html,"LTIFR und TRIFR zählen Mitarbeitende und Auftragnehmer zusammen (Expositionsstunden); rund 80 Prozent der etablierten Standorte sind nach ISO 45001 zertifiziert.","LTIFR and TRIFR count employees and contractors together (exposure hours); about 80 percent of established sites are ISO 45001 certified."
basf,BASF SE,DE,C,111822,2024,https://report.basf.com/2024/en/combined-managements-report/consolidated-sustainability-statement/social/s1-own-workforce/metrics.html,"Die Rate meldepflichtiger Arbeitsunfälle schliesst Auftragnehmer ein; BASF publiziert keine klassische LTIFR mehr.","The recordable work related injury rate includes contractors; BASF no longer publishes a classic LTIFR."
strabag,STRABAG SE,AT,F,86883,2024,https://report.strabag.com/2024/ar/en/eigene-belegschaft,"Die Rate meldepflichtiger Arbeitsunfälle gilt für die eigene Belegschaft; Auftragnehmer werden separat ausgewiesen.","The recordable work related accident rate covers the own workforce; contractors are reported separately."
ncc,NCC AB,SE,F,11800,2024,https://www.ncc.se/annualreport2024/,"LTIF zählt Arbeitsunfälle mit mehr als vier Kalendertagen Absenz je Million Arbeitsstunden, eigene Mitarbeitende; durchschnittlicher Personalbestand 2024.","LTIF counts work related accidents with more than four calendar days of absence per million hours worked, own employees; average headcount for 2024."
lenzing,Lenzing AG,AT,C,7816,2024,https://reports.lenzing.com/annual-and-sustainability-report/2025/sustainability/social-information/own-workforce/metrics/health-and-safety.html,"TRIFR je 1 000 000 Arbeitsstunden, eigene Mitarbeitende; Fremdpersonal wird separat ausgewiesen. Personalbestand in Vollzeitstellen per 31.12.2024. Alle Produktionsstandorte sind nach ISO 45001 zertifiziert.","TRIFR per 1 000 000 working hours, own employees; non employees are reported separately. Headcount in full time equivalents at 31 December 2024. All manufacturing sites are certified to ISO 45001."
sfs,SFS Group AG,CH,C,13078,2024,https://reports.sfs.com/annual-report/2024/en/occupational-health-and-safety,"Unfallrate ab einem Absenztag je Million Arbeitsstunden, feste und temporäre Mitarbeitende; 27 Standorte sind nach ISO 45001 zertifiziert. Personalbestand in Vollzeitstellen der Berichtseinheiten.","Accident rate from one day of absence per million hours worked, permanent and temporary employees; 27 locations are certified to ISO 45001. Headcount in full time equivalents of the reporting entities."
georg-fischer,Georg Fischer Ltd,CH,C,19023,2024,https://www.georgfischer.com/content/dam/commonassets/corp/documents/reports/sustainabilty-reports/sustainability-statement-2024/sustainability-statement-2024-en.pdf,"LTIFR je Million Arbeitsstunden; GF zählt Mitarbeitende und Temporärpersonal zusammen. Die Produktionsstandorte richten sich an ISO 45001 aus, eine Zertifizierungsquote wird nicht publiziert.","LTIFR per million hours worked; GF counts employees and leased personnel together. Manufacturing locations align with ISO 45001; no certified share is published."
wienerberger,Wienerberger AG,AT,C,20676,2024,https://annualreport.wienerberger.com/2024/_assets/downloads/nfs-non-financial-statements-wb-ar24.pdf,"Rate meldepflichtiger Arbeitsunfälle je 1 000 000 Expositionsstunden, eigene Belegschaft. Wienerberger nennt ISO 45001 nicht und weist nur 96 Prozent Abdeckung durch ein Arbeitsschutzmanagementsystem aus.","Rate of recordable work related accidents per 1 000 000 exposure hours, own workforce. Wienerberger does not name ISO 45001 and reports only 96 percent coverage by a health and safety management system."
